sno	Collected_Protein_name	Uniprot_Name	Uniprot_ID	Approved_Symbol	Gene_Identifier	Approved_Protein_Name	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
273	Drp1	DNM1L_HUMAN	O00429	DNM1L	HGNC:2973	Dynamin-1-like protein	Human	Protein	27731355	Homo sapiens				Normal human epidermal keratinocytes	Normal human epidermal keratinocytes	Cell	UVB-radiation		2000	In vitro	No irradiation	6	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
274	Proteasome subunit alpha type-6	PSA6_HUMAN	P60900	PSMA6	HGNC:9535	Proteasome subunit alpha type-6	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Up	keratinocyte	CL_0000312	Cell Ontology	
275	HSC 71	HSP7C_HUMAN	P11142	HSPA8	HGNC:5241	Heat shock cognate 71 kDa protein	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Down	keratinocyte	CL_0000312	Cell Ontology	
276	Actin	ARP3_HUMAN	P61158	ACTR3	HGNC:170	Actin-related protein 3	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Down	keratinocyte	CL_0000312	Cell Ontology	
277	Serotransferrin precursor	TRFE_HUMAN	P02787	TF	HGNC:11740	Serotransferrin	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Up	keratinocyte	CL_0000312	Cell Ontology	
278	HSP 60	CH60_HUMAN	P10809	HSPD1	HGNC:5261	60 kDa heat shock protein, mitochondrial	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Up	keratinocyte	CL_0000312	Cell Ontology	
279	Prohibitin	PHB1_HUMAN	P35232	PHB1	HGNC:8912	Prohibitin 1	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Up	keratinocyte	CL_0000312	Cell Ontology	
280	Proteasome subunit alpha type-5	PSA5_HUMAN	P28066	PSMA5	HGNC:9534	Proteasome subunit alpha type-5	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Up	keratinocyte	CL_0000312	Cell Ontology	
281	Proteasome subunit alpha type-1	PSA5_HUMAN	P28066	PSMA1	HGNC:9530	Proteasome subunit alpha type-5	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Up	keratinocyte	CL_0000312	Cell Ontology	
282	GRP 78	BIP_HUMAN	P11021	HSPA5	HGNC:5238	Endoplasmic reticulum chaperone BiP	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Down	keratinocyte	CL_0000312	Cell Ontology	
283	Ornithine aminotransferase	OAT_HUMAN	P04181	OAT	HGNC:8091	Ornithine aminotransferase, mitochondrial	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Up	keratinocyte	CL_0000312	Cell Ontology	
284	Phosphoenolpyruvate carboxykinase	PCKGC_HUMAN	P35558	PCK1	HGNC:8724	Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Up	keratinocyte	CL_0000312	Cell Ontology	
285	Integrin alpha-3	ITA3_HUMAN	P26006	ITGA3	HGNC:6139	Integrin alpha-3	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Up	keratinocyte	CL_0000312	Cell Ontology	
286	26S proteasome subunit 7	PSMD7_HUMAN	P51665	PSMD7	HGNC:9565	26S proteasome non-ATPase regulatory subunit 7	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Up	keratinocyte	CL_0000312	Cell Ontology	
287	Cytokeratin 5	K2C5_HUMAN	P13647	KRT5	HGNC:6442	Keratin, type II cytoskeletal 5	Human	Protein	20298559	Homo sapiens				Normal human epithelial keratinocytes (NHEK)	Normal human epithelial keratinocytes (NHEK)	Cell	UVB-radiation		20	In vitro	No irradiation	5	Proteomics	Two-dimensional electrophoresis (2-DE); Mass spectrometry	Up	keratinocyte	CL_0000312	Cell Ontology	
288	RNase 7	RNAS7_HUMAN	Q9H1E1	RNASE7	HGNC:19278	Ribonuclease 7	Human	Protein	19342087	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		350	In vitro	No irradiation	24	Proteomics	Flow cytometry	Up	keratinocyte	CL_0000312	Cell Ontology	
289	HBD-2	DFB4A_HUMAN	O15263	DEFB4A	HGNC:2767	defensin beta 4A	Human	Protein	19342087	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		350	In vitro	No irradiation	24	Proteomics	Flow cytometry	Up	keratinocyte	CL_0000312	Cell Ontology	
290	HBD-3	D103A_HUMAN	P81534	DEFB103A; DEFB103B	HGNC:15967	Beta-defensin 103	Human	Protein	19342087	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		350	In vitro	No irradiation	24	Proteomics	Flow cytometry	Up	keratinocyte	CL_0000312	Cell Ontology	
291	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	24	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
292	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	12	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
293	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	6	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
294	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	12	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
295	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		2000	In vitro	No irradiation	48	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
296	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	48	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
297	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	12	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
298	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	12	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
299	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	6	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
300	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	6	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
301	TGF-b1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	24	Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
302	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	24	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
303	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	24	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
304	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	24	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
305	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		2000	In vitro	No irradiation	48	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
306	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	48	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
307	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	48	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
308	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	48	Proteomics	Western blot	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
309	MMP-1	MMP1_HUMAN	P03956	MMP1	HGNC:7155	Interstitial collagenase	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	6	Proteomics	ELISA	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
310	TGF-b1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	24	Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
311	TGF-b1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	24	Proteomics	ELISA	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
312	TGF-b1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	48	Proteomics	ELISA	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
313	TGF-b1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	48	Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
314	TGF-b1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	48	Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
315	TGF-b1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	6	Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
316	TGF-b1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	12	Proteomics	ELISA	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
317	TGF-b1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	12	Proteomics	Western blot	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
318	TGF-b1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		4000	In vitro	No irradiation	24	Proteomics	ELISA	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
319	TGF-b1	TGFB1_HUMAN	P01137	TGFB1	HGNC:11766	Transforming growth factor beta-1 proprotein	Human	Protein	17137474	Homo sapiens				Primary cultures of normal human skin fibroblasts	Primary cultures of normal human skin fibroblasts	Cell	UVB-radiation		8000	In vitro	No irradiation	48	Proteomics	ELISA	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
320	JNK	MK08_HUMAN	P45983	MAPK8	HGNC:6881	mitogen-activated protein kinase 8	Human	Protein	9482112	Homo sapiens				Primary human keratinocytes	Primary human keratinocytes	Cell	UVB-radiation		2000	In vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
321	JNK	MK08_HUMAN	P45983	MAPK8	HGNC:6881	mitogen-activated protein kinase 8	Human	Protein	9482112	Homo sapiens				Primary human keratinocytes	Primary human keratinocytes	Cell	UVA-radiation		3000	In vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
322	JNK	MK08_HUMAN	P45983	MAPK8	HGNC:6881	mitogen-activated protein kinase 8	Human	Protein	9482112	Homo sapiens				Primary human keratinocytes	Primary human keratinocytes	Cell	UVB-radiation		1000	In vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
323	p38	MK14_HUMAN	Q16539	MAPK14	HGNC:6876	mitogen-activated protein kinase 14	Human	Protein	9482112	Homo sapiens				Primary human keratinocytes	Primary human keratinocytes	Cell	UVB-radiation		2000	In vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
324	p38	MK14_HUMAN	Q16539	MAPK14	HGNC:6876	mitogen-activated protein kinase 14	Human	Protein	9482112	Homo sapiens				Primary human keratinocytes	Primary human keratinocytes	Cell	UVB-radiation		1000	In vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
325	JNK	MK08_HUMAN	P45983	MAPK8	HGNC:6881	mitogen-activated protein kinase 8	Human	Protein	9482112	Homo sapiens				Primary human keratinocytes	Primary human keratinocytes	Cell	UVA-radiation		6000	In vitro	No irradiation		Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
326	CXCR-2	CXCR2_HUMAN	P25025	CXCR2	HGNC:6027	C-X-C chemokine receptor type 2	Human	Protein	10653603	Homo sapiens				Primary keratinocytes	Primary keratinocytes	Cell	UVB-radiation		300	In vitro	No irradiation	24	Proteomics	Flow cytometry	Down	keratinocyte	CL_0000312	Cell Ontology	
327	HMGB1	HMGB1_HUMAN	P09429	HMGB1	HGNC:4983	High mobility group protein B1	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		150	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
328	HMGB1	HMGB1_HUMAN	P09429	HMGB1	HGNC:4983	High mobility group protein B1	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		75	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
329	TNF-a	TNFA_HUMAN	P01375	TNF	HGNC:11892	tumor necrosis factor	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		75	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
330	HMGB1	HMGB1_HUMAN	P09429	HMGB1	HGNC:4983	High mobility group protein B1	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		300	In vitro	No irradiation	12	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
331	TNF-a	TNFA_HUMAN	P01375	TNF	HGNC:11892	tumor necrosis factor	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		150	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
332	IL-6	IL6_HUMAN	P05231	IL6	HGNC:6018	Interleukin-6	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		300	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
333	IL-1b	IL1B_HUMAN	P01584	IL1B	HGNC:5992	Interleukin-1 beta	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		300	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
334	TNF-a	TNFA_HUMAN	P01375	TNF	HGNC:11892	tumor necrosis factor	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		300	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
335	HMGB1	HMGB1_HUMAN	P09429	HMGB1	HGNC:4983	High mobility group protein B1	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		300	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
336	IL-1b	IL1B_HUMAN	P01584	IL1B	HGNC:5992	Interleukin-1 beta	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		300	In vitro	No irradiation	12	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
337	TNF-a	TNFA_HUMAN	P01375	TNF	HGNC:11892	tumor necrosis factor	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		300	In vitro	No irradiation	12	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
338	IL-1b	IL1B_HUMAN	P01584	IL1B	HGNC:5992	Interleukin-1 beta	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		75	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
339	IL-1b	IL1B_HUMAN	P01584	IL1B	HGNC:5992	Interleukin-1 beta	Human	Protein	23942756	Homo sapiens				Primary normal human epidermal keratinocytes (NHEK)	Primary normal human epidermal keratinocytes (NHEK)	Cell	UVB-radiation		150	In vitro	No irradiation	24	Proteomics	Western blot	Up	keratinocyte	CL_0000312	Cell Ontology	
340	1433T	1433T_RAT	P68255	Ywhaq	RGD:3979	14-3-3 protein theta	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
341	1433T	1433T_RAT	P68255	Ywhaq	RGD:3979	14-3-3 protein theta	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
342	A1M	A1M_RAT	Q63041	Pzp	RGD:628643	Alpha-1-macroglobulin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
343	A2MG	A2MG_RAT	P06238	A2m	RGD:2004	Alpha-2-macroglobulin	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
344	AATC	AATC_RAT	P13221	Got1	RGD:2721	Aspartate aminotransferase, cytoplasmic	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
345	CAH1	CAH1_RAT	B0BNN3	Car1	RGD:1309780	Carbonic anhydrase 1	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
346	CAH2	CAH2_RAT	P27139	Car2	RGD:2240	Carbonic anhydrase 2	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
347	VAT1	VAT1_RAT	Q3MIE4	Vat1	RGD:1308943	Synaptic vesicle membrane protein VAT-1 homologue	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Down	retina	UBERON_0000966	Uberon Ontology	
348	G3V6H9	G3V6H9_RAT	Q9Z2G8	Nap1l1	RGD:71094	Nucleosome assembly protein 1-like 1	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVA-radiation		5000	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
349	G3V6H9	G3V6H9_RAT	Q9Z2G8	Nap1l1	RGD:71094	Nucleosome assembly protein 1-like 1	Rat	Protein	26071645	Rattus norvegicus	Wistar-Albino	Male	0.25	Retina	Eye of intact animal	Tissue	UVB-radiation		350	In vivo	No irradiation		Proteomics	Mass spectrometry	Up	retina	UBERON_0000966	Uberon Ontology	
