sno	Collected_Gene_name	Approved_Symbol	Gene_Identifier	Approved_Name	Ensembl_Gene_ID	NCBI_Gene_ID	Organism_Mapped	Biomarker_Type	PMID	Organism_Tested	Organism_Strain	Gender	Age_In_Years	Tested_Cell_Type	Exposed_Area	Exposed_Area_Type	Radiation_Type	Dosage_Rate	Dose	Study_Type	Control	Sampling_Time_In_hrs	Type_Of_OMICS_Data	Testing_Method	Regulation	Tested_Cell_Or_Tissue_OLS	Identifier_OLS	Identifier_Type_OLS	Empty_col
328	CD163	CD163	HGNC:1631	CD163 molecule	ENSG00000177575	9332	Human	Gene	19707549	Homo sapiens				Monocyte-derived Dendritic cells	Monocyte-derived Dendritic cells	Cell	UV radiation-General		40000	In vitro	No irradiation	6	Genomics	Microarray	Up	monocyte-derived dendritic cell	CL_0011031	Cell Ontology	
329	MGC-24 precursor	CD164	HGNC:1632	CD164 molecule	ENSG00000135535	8763	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
330	human HCG V	CGB5	HGNC:16452	chorionic gonadotropin subunit beta 5	ENSG00000189052	93659	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
331	unnamed protein	NOP14	HGNC:16821	NOP14 nucleolar protein	ENSG00000087269	8602	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
332	TSC-22 protein	TSC22D1	HGNC:16826	TSC22 domain family member 1	ENSG00000102804	8848	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
333	KIAA0105	WTAP	HGNC:16846	WT1 associated protein	ENSG00000146457	9589	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
334	KIAA0026	MORF4L2	HGNC:16849	mortality factor 4 like 2	ENSG00000123562	9643	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
335	ESPL1	ESPL1	HGNC:16856	extra spindle pole bodies like 1, separase	ENSG00000135476	9700	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
336	ESPL1	ESPL1	HGNC:16856	extra spindle pole bodies like 1, separase	ENSG00000135476	9700	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	0.5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
337	ACTR2	ACTR2	HGNC:169	actin related protein 2	ENSG00000138071	10097	Human	Gene	27539902	Homo sapiens				Human dermal fibroblasts	Human dermal fibroblasts	Cell	UVA-radiation		100000	In vitro	No irradiation	3	Genomics	qRT-PCR	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
338	ATG7	ATG7	HGNC:16935	autophagy related 7	ENSG00000197548	10533	Human	Gene	29154199	Homo sapiens	Healthy		Neonate	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	12	Genomics	qRT-PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
339	ATG7	ATG7	HGNC:16935	autophagy related 7	ENSG00000197548	10533	Human	Gene	29154199	Homo sapiens	Healthy		Neonate	Human keratinocytes	Human keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	4	Genomics	qRT-PCR	Down	keratinocyte	CL_0000312	Cell Ontology	
340	CDC42EP3	CDC42EP3	HGNC:16943	CDC42 effector protein 3	ENSG00000163171	10602	Human	Gene	19707549	Homo sapiens				Monocyte-derived Dendritic cells	Monocyte-derived Dendritic cells	Cell	UV radiation-General		40000	In vitro	No irradiation	6	Genomics	Microarray	Up	monocyte-derived dendritic cell	CL_0011031	Cell Ontology	
341	VDUP-1	TXNIP	HGNC:16952	thioredoxin interacting protein	ENSG00000265972	10628	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
342	HSPH1	HSPH1	HGNC:16969	heat shock protein family H (Hsp110) member 1	ENSG00000120694	10808	Human	Gene	18797132	Homo sapiens	Japanese			Blood	Total body irradiation except face and genital region	Tissue	UVB-radiation		3000	In vivo	No irradiation	24	Genomics	Microarray	Down	blood	UBERON_0000178	Uberon Ontology	
343	putative ATP/GTP-binding protein	CLP1	HGNC:16999	cleavage factor polyribonucleotide kinase subunit 1	ENSG00000172409	10978	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
344	ACTR3	ACTR3	HGNC:170	actin related protein 3	ENSG00000115091	10096	Human	Gene	27539902	Homo sapiens				Human dermal fibroblasts	Human dermal fibroblasts	Cell	UVA-radiation		100000	In vitro	No irradiation	3	Genomics	qRT-PCR	Down	fibroblast of dermis	CL_0002551	Cell Ontology	
345	IEF SSP 9502	PWP1	HGNC:17015	PWP1 homolog, endonuclein	ENSG00000136045	11137	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
346	ERC1	ERC1	HGNC:17072	ELKS/RAB6-interacting/CAST family member 1	ENSG00000082805	23085	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
347	ERC1	ERC1	HGNC:17072	ELKS/RAB6-interacting/CAST family member 1	ENSG00000082805	23085	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
348	KIAA0112	RRS1	HGNC:17083	ribosome biogenesis regulator 1 homolog	ENSG00000179041	23212	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
349	ICOSL	ICOSLG	HGNC:17087	inducible T cell costimulator ligand	ENSG00000160223	23308	Human	Gene	19707549	Homo sapiens				Monocyte-derived Dendritic cells	Monocyte-derived Dendritic cells	Cell	UV radiation-General		40000	In vitro	No irradiation	6	Genomics	Microarray	Down	monocyte-derived dendritic cell	CL_0011031	Cell Ontology	
350	CD9	CD9	HGNC:1709	CD9 molecule	ENSG00000010278	928	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	1	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
351	CD9	CD9	HGNC:1709	CD9 molecule	ENSG00000010278	928	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	6	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
352	LARS2	LARS2	HGNC:17095	leucyl-tRNA synthetase 2, mitochondrial	ENSG00000011376	23395	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
353	Activin A receptor, type I	ACVR1	HGNC:171	activin A receptor type 1	ENSG00000115170	90	Human	Gene	15474302	Homo sapiens			Adult	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		500	In vitro	No irradiation	12	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
354	CDC10 protein homolog	SEPTIN7	HGNC:1717	Septin 7	ENSG00000122545	989	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	6	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
355	CDC10 protein homolog	SEPTIN7	HGNC:1717	Septin 7	ENSG00000122545	989	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	1	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
356	CDK1	CDK1	HGNC:1722	cyclin dependent kinase 1	ENSG00000170312	983	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	0.5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
357	CDK1	CDK1	HGNC:1722	cyclin dependent kinase 1	ENSG00000170312	983	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
358	CDC20	CDC20	HGNC:1723	cell division cycle 20	ENSG00000117399	991	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	0.5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
359	CDC20	CDC20	HGNC:1723	cell division cycle 20	ENSG00000117399	991	Human	Gene	27378355	Homo sapiens	Healthy			Primary cultures of skin fibroblasts	Primary cultures of skin fibroblasts	Cell	UVC-radiation	0.1	5	In vitro	No irradiation	12	Genomics	qRT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
360	p53R2	RRM2B	HGNC:17296	ribonucleotide reductase regulatory TP53 inducible subunit M2B	ENSG00000048392	50484	Human	Gene	15623356	Homo sapiens	Caucasian		Neonate	Melanocytes	Melanocytes	Cell	UV radiation-General	102	122400	In vitro	No irradiation	15	Genomics	qRT-PCR	Up	melanocyte of skin	CL_1000458	Cell Ontology	
361	CDC34	CDC34	HGNC:1734	cell division cycle 34, ubiqiutin conjugating enzyme	ENSG00000099804	997	Human	Gene	18797132	Homo sapiens	Japanese			Blood	Total body irradiation except face and genital region	Tissue	UVB-radiation		3000	In vivo	No irradiation	24	Genomics	Microarray	Up	blood	UBERON_0000178	Uberon Ontology	
362	U5-100K	DDX23	HGNC:17347	DEAD-box helicase 23	ENSG00000174243	9416	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
363	CDC37 homolog	CDC37	HGNC:1735	cell division cycle 37, HSP90 cochaperone	ENSG00000105401	11140	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	6	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
364	CDC37 homolog	CDC37	HGNC:1735	cell division cycle 37, HSP90 cochaperone	ENSG00000105401	11140	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
365	LRBA	LRBA	HGNC:1742	LPS responsive beige-like anchor protein	ENSG00000198589	987	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
366	LRBA	LRBA	HGNC:1742	LPS responsive beige-like anchor protein	ENSG00000198589	987	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
367	LRBA	LRBA	HGNC:1742	LPS responsive beige-like anchor protein	ENSG00000198589	987	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	18	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
368	LRBA	LRBA	HGNC:1742	LPS responsive beige-like anchor protein	ENSG00000198589	987	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		50	In vitro	No irradiation	24	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
369	CDH1	CDH1	HGNC:1748	cadherin 1	ENSG00000039068	999	Human	Gene	29748690	Homo sapiens				Primary human epidermal melanocytes	Primary human epidermal melanocytes	Cell	UV radiation-General		7530	In vitro	No irradiation	84	Genomics	qRT-PCR	Down	epidermal melanocyte	CL_2000000	Cell Ontology	
370	CDH1	CDH1	HGNC:1748	cadherin 1	ENSG00000039068	999	Human	Gene	29748690	Homo sapiens				Primary human epidermal melanocytes	Primary human epidermal melanocytes	Cell	UV radiation-General		7530	In vitro	No irradiation	252	Genomics	qRT-PCR	Down	epidermal melanocyte	CL_2000000	Cell Ontology	
371	SERGEF	SERGEF	HGNC:17499	secretion regulating guanine nucleotide exchange factor	ENSG00000129158	26297	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
372	SERGEF	SERGEF	HGNC:17499	secretion regulating guanine nucleotide exchange factor	ENSG00000129158	26297	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
373	cadherin-8	CDH8	HGNC:1767	Cadherin 8	ENSG00000150394	1006	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Up	keratinocyte	CL_0000312	Cell Ontology	
374	DCHT	STK39	HGNC:17717	serine/threonine kinase 39	ENSG00000198648	27347	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
375	CDK5	CDK5	HGNC:1774	cyclin dependent kinase 5	ENSG00000164885	1020	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	6	Genomics	Northern blot	Down	keratinocyte	CL_0000312	Cell Ontology	
376	p21 WAF1/CIP1	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	11532376	Homo sapiens			Neonate	Human epidermal keratinocytes	Human epidermal keratinocytes	Cell	UVB-radiation		1700	In vitro	No irradiation	6	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
377	p21	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	18425358	Homo sapiens				Human skin fibroblasts	Human skin fibroblasts	Cell	UVB-radiation		100	In vitro	No irradiation	72	Genomics	RT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
378	p21	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	15623356	Homo sapiens	Caucasian		Neonate	Melanocytes	Melanocytes	Cell	UV radiation-General	102	122400	In vitro	No irradiation	24	Genomics	qRT-PCR	Up	melanocyte of skin	CL_1000458	Cell Ontology	
379	p21	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	15623356	Homo sapiens	Caucasian		Neonate	Melanocytes	Melanocytes	Cell	UV radiation-General	102	61200	In vitro	No irradiation	4	Genomics	qRT-PCR	Up	melanocyte of skin	CL_1000458	Cell Ontology	
380	p21	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	12788532	Homo sapiens			Neonate	Normal neonatal human keratinocytes	Normal neonatal human keratinocytes	Cell	UVB-radiation		1000	In vitro	No irradiation	24	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
381	p21	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	12788532	Homo sapiens			Neonate	Normal neonatal human keratinocytes	Normal neonatal human keratinocytes	Cell	UVB-radiation		2500	In vitro	No irradiation	24	Genomics	Northern blot	Up	keratinocyte	CL_0000312	Cell Ontology	
382	CDKN1A	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Up	keratinocyte	CL_0000312	Cell Ontology	
383	CDKN1A	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	72	Genomics	Illumina HiSeq	Up	keratinocyte	CL_0000312	Cell Ontology	
384	CDKN1A	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	4	Genomics	Illumina HiSeq	Up	melanocyte	CL_0000148	Cell Ontology	
385	CDKN1A	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Up	melanocyte	CL_0000148	Cell Ontology	
386	CDKN1A	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	72	Genomics	Illumina HiSeq	Up	melanocyte	CL_0000148	Cell Ontology	
387	p21	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	23832538	Homo sapiens				Skin	Skin	Tissue	UVA-radiation		100000	Ex vivo	No irradiation	168	Genomics	qRT-PCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
388	CDKN1A	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	12	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
389	CDKN1A	CDKN1A	HGNC:1784	cyclin dependent kinase inhibitor 1A	ENSG00000124762	1026	Human	Gene	12907719	Homo sapiens				WS1 human skin fibroblasts	WS1 human skin fibroblasts	Cell	UVC-radiation		10	In vitro	No irradiation	6	Genomics	Microarray	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
390	putative hydrophobic domain	NUP188	HGNC:17859	nucleoporin 188	ENSG00000095319	23511	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
391	p16	CDKN2A	HGNC:1787	cyclin dependent kinase inhibitor 2A	ENSG00000147889	1029	Human	Gene	18425358	Homo sapiens				Human skin fibroblasts	Human skin fibroblasts	Cell	UVB-radiation		100	In vitro	No irradiation	72	Genomics	RT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
392	p16	CDKN2A	HGNC:1787	cyclin dependent kinase inhibitor 2A	ENSG00000147889	1029	Human	Gene	23832538	Homo sapiens				Skin	Skin	Tissue	UVA-radiation		100000	Ex vivo	No irradiation	168	Genomics	qRT-PCR	Up	skin of body	UBERON_0002097	Uberon Ontology	
393	RCP9	CRCP	HGNC:17888	CGRP receptor component	ENSG00000241258	27297	Human	Gene	19707549	Homo sapiens				Monocyte-derived Dendritic cells	Monocyte-derived Dendritic cells	Cell	UV radiation-General		40000	In vitro	No irradiation	6	Genomics	Microarray	Up	monocyte-derived dendritic cell	CL_0011031	Cell Ontology	
394	CDKN2D	CDKN2D	HGNC:1790	cyclin dependent kinase inhibitor 2D	ENSG00000129355	1032	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Up	lens epithelial cell	CL_0002224	Cell Ontology	
395	p19	CDKN2D	HGNC:1790	cyclin dependent kinase inhibitor 2D	ENSG00000129355	1032	Human	Gene	18425358	Homo sapiens				Human skin fibroblasts	Human skin fibroblasts	Cell	UVB-radiation		100	In vitro	No irradiation	72	Genomics	RT-PCR	Up	fibroblast of dermis	CL_0002551	Cell Ontology	
396	SERTAD1	SERTAD1	HGNC:17932	SERTA domain containing 1	ENSG00000197019	29950	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Up	keratinocyte	CL_0000312	Cell Ontology	
397	SERTAD1	SERTAD1	HGNC:17932	SERTA domain containing 1	ENSG00000197019	29950	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Up	melanocyte	CL_0000148	Cell Ontology	
398	TAOK3	TAOK3	HGNC:18133	TAO kinase 3	ENSG00000135090	51347	Human	Gene	19707549	Homo sapiens				Monocyte-derived Dendritic cells	Monocyte-derived Dendritic cells	Cell	UV radiation-General		40000	In vitro	No irradiation	6	Genomics	Microarray	Down	monocyte-derived dendritic cell	CL_0011031	Cell Ontology	
399	NF-IL-6-beta protein	CEBPD	HGNC:1835	CCAAT enhancer binding protein delta	ENSG00000221869	1052	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
400	KIAA0005	BZW1	HGNC:18380	basic leucine zipper and W2 domains 1	ENSG00000082153	9689	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
401	CENPF	CENPF	HGNC:1857	centromere protein F	ENSG00000117724	1063	Human	Gene	28211524	Homo sapiens	Caucasian		Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	72	Genomics	RNA-seq	Down	keratinocyte	CL_0000312	Cell Ontology	
402	carboxylesterase	CES1	HGNC:1863	carboxylesterase 1	ENSG00000198848	1066	Human	Gene	11982916	Homo sapiens			Neonate	Primary keratinocytes from foreskin	Primary keratinocytes from foreskin	Cell	UVB-radiation		100	In vitro	No irradiation	6	Genomics	Microarray	Down	keratinocyte	CL_0000312	Cell Ontology	
403	KIAA0123	PMPCA	HGNC:18667	peptidase, mitochondrial processing subunit alpha	ENSG00000165688	23203	Human	Gene	15339208	Homo sapiens				Human lens epithelial cells	Human lens epithelial cells	Cell	UVA-radiation	70	378000	In vitro	No irradiation	4	Genomics	Microarray	Down	lens epithelial cell	CL_0002224	Cell Ontology	
404	SCMH1	SCMH1	HGNC:19003	Scm polycomb group protein homolog 1	ENSG00000010803	22955	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
405	SCMH1	SCMH1	HGNC:19003	Scm polycomb group protein homolog 1	ENSG00000010803	22955	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
406	TBC1D5	TBC1D5	HGNC:19166	TBC1 domain family member 5	ENSG00000131374	9779	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
407	TBC1D5	TBC1D5	HGNC:19166	TBC1 domain family member 5	ENSG00000131374	9779	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
408	C16ORF45	BMERB1	HGNC:19213	bMERB domain containing 1	ENSG00000166780	89927	Human	Gene	27119462	Homo sapiens			Neonate	Primary human keratinocytes	Primary human keratinocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	keratinocyte	CL_0000312	Cell Ontology	
409	C16ORF45	BMERB1	HGNC:19213	bMERB domain containing 1	ENSG00000166780	89927	Human	Gene	27119462	Homo sapiens			Neonate	Primary human Melanocytes	Primary human Melanocytes	Cell	UV radiation-General		300	In vitro	No irradiation	24	Genomics	Illumina HiSeq	Down	melanocyte	CL_0000148	Cell Ontology	
410	RNase 7	RNASE7	HGNC:19278	ribonuclease A family member 7	ENSG00000165799	84659	Human	Gene	19342087	Homo sapiens				Normal human keratinocytes	Normal human keratinocytes	Cell	UVB-radiation		350	In vitro	No irradiation	24	Genomics	RT-PCR	Up	keratinocyte	CL_0000312	Cell Ontology	
